seed,K,rank_constraint,cross_cov_rank,rank_formula,coefficient_rank,factorized_rank,relative_factorization_error,rrr_mse,factored_mse,ols_mse,factorized_loss_gap,rrr_ols_gap
5,4,24,4,4,4,4,8.034156984681238e-16,18.685716291818036,18.685716291818036,18.685716292108665,0.0,-2.90629742494275e-10
5,8,2,8,2,2,2,5.823036702809247e-16,406.59927226814585,406.59927226814585,11.854445382668686,0.0,394.74482688547715
5,8,4,8,4,4,4,7.448855349600262e-16,185.2485999577459,185.2485999577459,11.854445382668686,0.0,173.3941545750772
5,8,8,8,8,8,8,1.1560336272165054e-15,11.854445382643869,11.854445382643867,11.854445382668686,-1.7763568394002505e-15,-2.48174814032609e-11
5,8,16,8,8,8,8,1.1560336272165054e-15,11.854445382643869,11.854445382643867,11.854445382668686,-1.7763568394002505e-15,-2.48174814032609e-11
5,8,24,8,8,8,8,1.1560336272165054e-15,11.854445382643869,11.854445382643867,11.854445382668686,-1.7763568394002505e-15,-2.48174814032609e-11
5,16,2,16,2,2,2,4.904655799911816e-16,234.2464539306056,234.2464539306056,6.3557540681465445,0.0,227.89069986245906
5,16,4,16,4,4,4,7.363112095676187e-16,121.99578458152895,121.99578458152895,6.3557540681465445,0.0,115.64003051338241
5,16,8,16,8,8,8,1.2944870434809685e-15,35.3433538007104,35.3433538007104,6.3557540681465445,0.0,28.987599732563858
5,16,16,16,16,16,16,1.6477853224972411e-15,6.355754068105199,6.355754068105197,6.3557540681465445,-1.7763568394002505e-15,-4.134559361546053e-11
5,16,24,16,16,16,16,1.6477853224972411e-15,6.355754068105199,6.355754068105197,6.3557540681465445,-1.7763568394002505e-15,-4.134559361546053e-11
5,24,2,24,2,2,2,5.585667083850568e-16,156.9278327514315,156.9278327514315,4.271266940249911,0.0,152.6565658111816
5,24,4,24,4,4,4,7.945777685488439e-16,82.91404342221061,82.91404342221061,4.271266940249911,0.0,78.6427764819607
5,24,8,24,8,8,8,1.6195848329982443e-15,25.137115663072816,25.137115663072816,4.271266940249911,0.0,20.865848722822903
5,24,16,24,16,16,16,1.3602931146046364e-15,5.654974183800725,5.654974183800725,4.271266940249911,0.0,1.3837072435508144
5,24,24,24,24,24,24,1.8830161131727985e-15,4.271266940222588,4.271266940222588,4.271266940249911,0.0,-2.7323032725234953e-11
